candidate_id,campaign_twitter,official_twitter,personal_twitter,tenure,party,gender,state,ballotpedia_url,name,incumbent,ethnicity,campaign_budget,has_twitter,num_tweets
0,drdia,,,,Democratic Party,Male,Alabama,https://ballotpedia.org/Adia_Winfrey,Adia Winfrey,FALSE,,,TRUE,0
1,,,audri4alabama,,Democratic Party,Female,Alabama,https://ballotpedia.org/Audri_Scott_Williams,Audri Scott Williams,FALSE,,,TRUE,141
2,,,votedannerkline,,Democratic Party,Male,Alabama,https://ballotpedia.org/Danner_Kline,Danner Kline,FALSE,,,TRUE,0
3,,,LeeAuman2018,,Democratic Party,Male,Alabama,https://ballotpedia.org/Lee_Auman,Lee Auman,FALSE,,,TRUE,269
4,,,,,Democratic Party,Female,Alabama,https://ballotpedia.org/Lizzetta_Hill_McConnell,Lizzetta Hill McConnell,FALSE,,,FALSE,0
5,,,HaganforHouse,,Democratic Party,Female,Alabama,https://ballotpedia.org/Mallory_Hagan,Mallory Hagan,FALSE,,,TRUE,0
6,,,peter_joffrion,,Democratic Party,Male,Alabama,https://ballotpedia.org/Peter_Joffrion,Peter Joffrion,FALSE,,,TRUE,443
7,VoteNeighbors,,,,Democratic Party,Male,Alabama,https://ballotpedia.org/Rick_Neighbors,Rick Neighbors,FALSE,,,TRUE,0
8,,,Kennedy4Alabama,,Democratic Party,Male,Alabama,https://ballotpedia.org/Robert_Kennedy_Jr._(Alabama),Robert Kennedy Jr. (Alabama),FALSE,,,TRUE,394
9,,,TabithaK,,Democratic Party,Female,Alabama,https://ballotpedia.org/Tabitha_Isner,Tabitha Isner,FALSE,,,TRUE,0
10,Sewell4Congress,RepTerriSewell,,2011 - Present,Democratic Party,Female,Alabama,https://ballotpedia.org/Terri_Sewell,Terri Sewell,TRUE,,,TRUE,129
11,,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Anthony_Blackmon,Anthony Blackmon,FALSE,,,FALSE,0
12,RepBarryMoore,RepBarryMoore,,2021 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Barry_Moore_(Alabama),Barry Moore (Alabama),TRUE,,,TRUE,0
13,,,BobbyBrightAL,,Republican Party,Male,Alabama,https://ballotpedia.org/Bobby_Bright,Bobby Bright,FALSE,,,TRUE,0
14,BradleyByrne,RepByrne,,,Republican Party,Male,Alabama,https://ballotpedia.org/Bradley_Byrne,Bradley Byrne,FALSE,,,TRUE,0
15,,,hinchman2018,,Republican Party,Male,Alabama,https://ballotpedia.org/Clayton_Hinchman,Clayton Hinchman,FALSE,,,TRUE,0
16,Palmer4Alabama,USRepGaryPalmer,,2015 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Gary_Palmer,Gary Palmer,TRUE,,,TRUE,259
17,,RepMarthaRoby,,,Republican Party,Female,Alabama,https://ballotpedia.org/Martha_Roby,Martha Roby,FALSE,,,TRUE,0
18,MikeRogersCamp,RepMikeRogersAL,,2003 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Mike_Rogers_(Alabama),Mike Rogers (Alabama),TRUE,,,TRUE,114
19,MoInTheHouse,RepMoBrooks,,2011 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Mo_Brooks,Mo Brooks,TRUE,,,TRUE,0
20,,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Rich_Hobson,Rich Hobson,FALSE,,,FALSE,0
21,,Robert_Aderholt,,1997 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Robert_Aderholt,Robert Aderholt,TRUE,,,TRUE,175
22,,,tommy_amason,,Republican Party,Male,Alabama,https://ballotpedia.org/Tommy_Amason,Tommy Amason,FALSE,,,TRUE,0
23,AlyseGalvin,,,,Nonpartisan,Male,Alaska,https://ballotpedia.org/Alyse_Galvin,Alyse Galvin,FALSE,,,TRUE,188
24,VoteHafner,,,,Democratic Party,Female,Wyoming,https://ballotpedia.org/Carol_Hafner,Carol Hafner,FALSE,,,TRUE,0
25,,,ccc4congress,,Democratic Party,Male,Alaska,https://ballotpedia.org/Christopher_Cumings,Christopher Cumings,FALSE,,,TRUE,0
26,,,,,Democratic Party,Male,Alaska,https://ballotpedia.org/Dimitri_Shein,Dimitri Shein,FALSE,,,FALSE,0
27,DonYoungAK,repdonyoung,,1973 - Present,Republican Party,Male,Alaska,https://ballotpedia.org/Don_Young_(Alaska),Don Young (Alaska),TRUE,,,TRUE,165
28,,,,,Green Party,Male,Alaska,https://ballotpedia.org/Jed_Whittaker,Jed Whittaker,FALSE,,,FALSE,0
29,Nelson4Alaskans,,,,Republican Party,Male,Alaska,https://ballotpedia.org/Thomas_Nelson_(Alaska),Thomas Nelson (Alaska),FALSE,,,TRUE,37
30,anitamalik,,,,Democratic Party,Female,Arizona,https://ballotpedia.org/Anita_Malik,Anita Malik,FALSE,,,TRUE,0
31,Ann_Kirkpatrick,RepKirkpatrick,,2019 - Present,Democratic Party,Female,Arizona,https://ballotpedia.org/Ann_Kirkpatrick,Ann Kirkpatrick,TRUE,,,TRUE,63
32,,,,,Democratic Party,Female,Arizona,https://ballotpedia.org/Barbara_Sherry,Barbara Sherry,FALSE,,,FALSE,0
33,,,,,Democratic Party,Male,Arizona,https://ballotpedia.org/Billy_Kovacs,Billy Kovacs,FALSE,,,FALSE,0
34,,,Bwestbrookaz8,,Democratic Party,Female,Arizona,https://ballotpedia.org/Brianna_Westbrook,Brianna Westbrook,FALSE,,,TRUE,0
35,,,BruceWheelerAZ,,Democratic Party,Male,Arizona,https://ballotpedia.org/Bruce_Wheeler,Bruce Wheeler,FALSE,,,TRUE,223
36,,,,,Democratic Party,Female,Arizona,https://ballotpedia.org/Catherine_Miranda,Catherine Miranda,FALSE,,,FALSE,0
37,,,brill4congress,,Democratic Party,Male,Arizona,https://ballotpedia.org/David_Brill,David Brill,FALSE,,,TRUE,0
38,delina4az,,,,Democratic Party,Female,Arizona,https://ballotpedia.org/Delina_DiSanto,Delina DiSanto,FALSE,,,TRUE,0
39,,,electgarrick,,Democratic Party,Male,Arizona,https://ballotpedia.org/Garrick_McFadden,Garrick McFadden,FALSE,,,TRUE,0
40,gregstantonaz,repgregstanton,,2019 - Present,Democratic Party,Male,Arizona,https://ballotpedia.org/Greg_Stanton,Greg Stanton,TRUE,,,TRUE,527
41,,,heatherforaz,,Democratic Party,Female,Arizona,https://ballotpedia.org/Heather_Ross,Heather Ross,FALSE,,,TRUE,429
42,hiral4congress,,,,Democratic Party,Female,Arizona,https://ballotpedia.org/Hiral_Tipirneni,Hiral Tipirneni,FALSE,,,TRUE,0
43,joangreeneaz,,,,Democratic Party,Female,Arizona,https://ballotpedia.org/Joan_Greene,Joan Greene,FALSE,,,TRUE,0
44,JoseTorresAZ5,,JoseTorresAZ5,,Democratic Party,Male,Arizona,https://ballotpedia.org/Jose_Torres,Jose Torres,FALSE,,,TRUE,0
45,,,,,Democratic Party,Female,Arizona,https://ballotpedia.org/Mary_Matiella,Mary Matiella,FALSE,,,FALSE,0
46,,,mattheinzmd,,Democratic Party,Male,Arizona,https://ballotpedia.org/Matt_Heinz,Matt Heinz,FALSE,,,TRUE,109
47,standwithraul,repraulgrijalva,,2003 - Present,Democratic Party,Male,Arizona,https://ballotpedia.org/Raul_Grijalva,Raul Grijalva,TRUE,,,TRUE,675
48,RubenGallego,RepRubenGallego,,2015 - Present,Democratic Party,Male,Arizona,https://ballotpedia.org/Ruben_Gallego,Ruben Gallego,TRUE,,,TRUE,0
49,TomOHalleran,repohalleran,,2017 - Present,Democratic Party,Male,Arizona,https://ballotpedia.org/Tom_O%27Halleran,Tom O'Halleran,TRUE,,,TRUE,186
50,,,,,Democratic Party,Male,Arizona,https://ballotpedia.org/Yahya_Yuksel,Yahya Yuksel,FALSE,,,FALSE,0
51,andybiggs4az,RepAndyBiggsAZ,,2017 - Present,Republican Party,Male,Arizona,https://ballotpedia.org/Andy_Biggs,Andy Biggs,TRUE,,,TRUE,0
52,,,,,Republican Party,Male,Arizona,https://ballotpedia.org/Bob_Stump,Bob Stump,FALSE,,,FALSE,0
53,PathForFreedom,,,,Republican Party,Male,Arizona,https://ballotpedia.org/Brandon_Martin_(Arizona),Brandon Martin (Arizona),FALSE,,,TRUE,139
54,,,,,Republican Party,Male,Arizona,https://ballotpedia.org/Brenden_Dilley,Brenden Dilley,FALSE,,,FALSE,0
55,,,,,Republican Party,Male,Arizona,https://ballotpedia.org/Casey_Welch,Casey Welch,FALSE,,,FALSE,0
56,,,,,Republican Party,Male,Arizona,https://ballotpedia.org/Chad_Allen,Chad Allen,FALSE,,,FALSE,0
