Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
1109,1721.0,1.0,6.0,6.0,3.0,3.0,2.0,12.5,25.0,0.5,1.0,1.0,5.0,5.0,1.0,1.0,8.0,29.25,234.0,5.875,47.0,1.0,193.0,193.0,16.0,16.0,5.0,15.2,76.0,4.8,24.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,48.0,4.0,16.0,3.0,38.333333333333336,115.0,3.333333333333333,10.0,12878,4251,35.574585635359114,11.743093922651935,362,Democratic Party,Male,10.0,12.0,373.0,322.0,37.3,26.83333333333333
1110,1723.0,1.0,10.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,2210,791,17.822580645161292,6.379032258064517,124,Democratic Party,Male,2.0,3.0,29.0,26.0,14.5,8.666666666666666
1111,1727.0,0.0,0.0,0.0,0.0,0.0,5.0,23.4,117.0,9.4,47.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,26.0,0.0,0.0,4.0,7.5,30.0,7.75,31.0,3.0,7.333333333333332,22.0,3.6666666666666665,11.0,0.0,0.0,0.0,0.0,0.0,3.0,24.33333333333333,73.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,25952,6876,67.7597911227154,17.953002610966056,383,Republican Party,Female,10.0,6.0,197.0,190.0,19.7,31.66666666666667
1112,1728.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,106.0,2.5,5.0,1.0,111.0,111.0,4.0,4.0,3.0,31.66666666666667,95.0,4.666666666666667,14.0,3.0,88.66666666666669,266.0,13.333333333333336,40.0,12.0,128.08333333333334,1537.0,42.5,510.0,0.0,0.0,0.0,0.0,0.0,2.0,40.5,81.0,5.0,10.0,1.0,171.0,171.0,22.0,22.0,18945,5700,104.0934065934066,31.31868131868132,182,Republican Party,Male,17.0,6.0,2444.0,335.0,143.7647058823529,55.83333333333334
1113,1730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1.25,0.25,4,Republican Party,Male,1.0,0.0,0.0,0.0,0.0,
1114,1732.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,8.5,17.0,2.5,5.0,9.0,5.666666666666668,51.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,5.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,3518,1279,18.04102564102564,6.558974358974358,195,Republican Party,Male,13.0,3.0,107.0,13.0,8.23076923076923,4.333333333333333
1115,1734.0,1.0,9.0,9.0,1.0,1.0,7.0,14.0,98.0,2.8571428571428568,20.0,6.0,39.333333333333336,236.0,25.5,153.0,6.0,5.833333333333332,35.0,4.833333333333333,29.0,5.0,619.2,3096.0,123.2,616.0,24.0,21.95833333333333,527.0,6.833333333333332,164.0,1.0,6.0,6.0,5.0,5.0,10.0,69.1,691.0,20.2,202.0,0.0,0.0,0.0,0.0,0.0,47112,13483,102.86462882096072,29.438864628820962,458,Republican Party,Male,40.0,20.0,5307.0,581.0,132.675,29.05
1116,1736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.8,19.0,1.6,8.0,0.0,0.0,0.0,0.0,0.0,96,40,2.7428571428571433,1.1428571428571428,35,Republican Party,Male,5.0,0.0,27.0,0.0,5.4,
1117,1737.0,1.0,34.0,34.0,11.0,11.0,8.0,220.125,1761.0,35.0,280.0,12.0,27.83333333333333,334.0,8.916666666666666,107.0,10.0,71.8,718.0,30.6,306.0,9.0,35.77777777777778,322.0,14.222222222222221,128.0,29.0,105.24137931034485,3052.0,48.41379310344828,1404.0,3.0,376.33333333333326,1129.0,134.66666666666666,404.0,12.0,185.16666666666663,2222.0,64.08333333333333,769.0,15.0,146.6,2199.0,83.66666666666667,1255.0,142268,71185,209.83480825958702,104.99262536873155,678,Republican Party,Male,53.0,31.0,9430.0,3551.0,177.92452830188682,114.54838709677419
1118,1738.0,3.0,5.333333333333333,16.0,3.0,9.0,4.0,9.5,38.0,1.75,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,12.0,1.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,4.0,6.25,25.0,3.5,14.0,0.0,0.0,0.0,0.0,0.0,1522,429,13.469026548672565,3.7964601769911503,113,Republican Party,Female,7.0,7.0,55.0,70.0,7.857142857142858,10.0
1119,1739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.2,0.1,10,Republican Party,Male,1.0,0.0,0.0,0.0,0.0,
1120,1740.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,27.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,30,6.071428571428571,1.0714285714285714,28,Republican Party,Male,0.0,3.0,0.0,30.0,,10.0
1121,1741.0,0.0,0.0,0.0,0.0,0.0,5.0,36.2,181.0,3.8,19.0,2.0,7.5,15.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,68.8,1376.0,18.75,375.0,0.0,0.0,0.0,0.0,0.0,4.0,15.75,63.0,3.75,15.0,3.0,80.33333333333333,241.0,28.0,84.0,25586,7926,65.2704081632653,20.219387755102037,392,Republican Party,Male,24.0,7.0,1829.0,222.0,76.20833333333333,31.714285714285715
1122,1744.0,4.0,3.0,12.0,2.0,8.0,8.0,26.5,212.0,3.5,28.0,2.0,5.0,10.0,2.0,4.0,6.0,8.5,51.0,1.8333333333333333,11.0,2.0,7.0,14.0,3.0,6.0,21.0,5.7142857142857135,120.0,1.809523809523809,38.0,1.0,55.0,55.0,12.0,12.0,22.0,14.272727272727273,314.0,3.272727272727273,72.0,4.0,24.5,98.0,7.5,30.0,9640,3910,24.78149100257069,10.051413881748072,389,Republican Party,Male,46.0,20.0,631.0,336.0,13.717391304347824,16.8
