,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
0,0.0,1.0,9.0,9.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,351,135,3.734042553191489,1.4361702127659575,94,Democratic Party,Male,2.0,2.0,18.0,13.0,9.0,6.5
1,2.0,2.0,10.5,21.0,1.5,3.0,7.0,47.857142857142854,335.0,3.5714285714285716,25.0,4.0,18.5,74.0,4.0,16.0,6.0,12.5,75.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,16.75,134.0,3.625,29.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,1.0,1.0,2.0,4.5,9.0,2.0,4.0,9455,2001,25.14627659574468,5.321808510638298,376,Democratic Party,Female,9.0,19.0,173.0,573.0,19.22222222222222,30.157894736842106
2,3.0,3.0,5.333333333333333,16.0,1.3333333333333333,4.0,7.0,5.0,35.0,2.0,14.0,9.0,7.888888888888889,71.0,4.333333333333333,39.0,5.0,6.8,34.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,3.8333333333333335,23.0,1.3333333333333333,8.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,2.0,2.0,1.0,9.0,9.0,6.0,6.0,3907,1530,8.9816091954023,3.5172413793103448,435,Democratic Party,Female,7.0,24.0,44.0,233.0,6.285714285714286,9.708333333333334
3,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,23,1.411764705882353,0.6764705882352942,34,Democratic Party,Male,0.0,1.0,0.0,0.0,,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,4.0,12.5,50.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.4,17.0,1.4,7.0,1200,596,7.18562874251497,3.568862275449102,167,Democratic Party,Male,5.0,1.0,73.0,2.0,14.6,2.0
5,6.0,6.0,24.833333333333332,149.0,4.833333333333333,29.0,8.0,32.25,258.0,7.625,61.0,7.0,20.0,140.0,10.571428571428571,74.0,15.0,57.86666666666667,868.0,18.666666666666668,280.0,0.0,0.0,0.0,0.0,0.0,10.0,60.9,609.0,16.0,160.0,0.0,0.0,0.0,0.0,0.0,11.0,102.18181818181819,1124.0,41.09090909090909,452.0,17.0,69.70588235294117,1185.0,22.176470588235293,377.0,115954,19512,165.41226818830242,27.834522111269614,701,Democratic Party,Female,21.0,36.0,2345.0,1859.0,111.66666666666667,51.638888888888886
6,8.0,1.0,89.0,89.0,21.0,21.0,9.0,34.888888888888886,314.0,19.77777777777778,178.0,10.0,18.3,183.0,6.6,66.0,6.0,24.5,147.0,8.666666666666666,52.0,5.0,30.6,153.0,12.2,61.0,24.0,11.416666666666666,274.0,6.166666666666667,148.0,1.0,89.0,89.0,21.0,21.0,3.0,79.66666666666667,239.0,22.666666666666668,68.0,10.0,12.9,129.0,5.6,56.0,23610,12153,54.779582366589324,28.19721577726218,431,Republican Party,Male,33.0,26.0,1053.0,1050.0,31.90909090909091,40.38461538461539
7,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1815.0,1815.0,870.0,870.0,1.0,24.0,24.0,2.0,2.0,14.0,24.214285714285715,339.0,6.5,91.0,1.0,12.0,12.0,2.0,2.0,21.0,44.714285714285715,939.0,16.761904761904763,352.0,0.0,0.0,0.0,0.0,0.0,10.0,58.7,587.0,18.8,188.0,8.0,23.375,187.0,9.5,76.0,27236,11822,49.79159049360146,21.612431444241317,547,Republican Party,Male,32.0,16.0,2080.0,3141.0,65.0,196.3125
8,11.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,39.0,1.6666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,6.0,7.333333333333333,44.0,1.6666666666666667,10.0,0.0,0.0,0.0,0.0,0.0,2.0,9.5,19.0,4.0,8.0,3.0,5.333333333333333,16.0,1.3333333333333333,4.0,2913,645,13.423963133640553,2.9723502304147464,217,Republican Party,Male,9.0,3.0,86.0,44.0,9.555555555555555,14.666666666666666
9,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.3333333333333335,7.0,1.6666666666666667,5.0,3.0,2.0,6.0,1.0,3.0,4.0,0.5,2.0,0.25,1.0,4.0,1.75,7.0,1.0,4.0,3.0,9.0,27.0,9.666666666666666,29.0,2.0,0.5,1.0,0.0,0.0,9.0,1.1111111111111112,10.0,0.1111111111111111,1.0,1322,833,3.3132832080200503,2.087719298245614,399,Republican Party,Male,13.0,7.0,71.0,21.0,5.461538461538462,3.0
10,13.0,1.0,4.0,4.0,0.0,0.0,3.0,6.0,18.0,1.0,3.0,4.0,5.5,22.0,1.5,6.0,6.0,7.166666666666667,43.0,1.8333333333333333,11.0,2.0,4.5,9.0,1.0,2.0,5.0,6.8,34.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,11.0,1.0,2.0,3.0,2.6666666666666665,8.0,0.6666666666666666,2.0,1814,556,6.066889632107023,1.859531772575251,299,Republican Party,Male,9.0,14.0,68.0,107.0,7.555555555555555,7.642857142857143
11,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,78,2.717948717948718,2.0,39,Republican Party,Female,2.0,0.0,11.0,0.0,5.5,
12,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,2.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,21.0,2.9047619047619047,61.0,2.142857142857143,45.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.8,4.0,0.2,1.0,1463,856,3.4833333333333334,2.038095238095238,420,Republican Party,Male,24.0,4.0,109.0,4.0,4.541666666666667,1.0
13,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,2.0,0.5,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,11.0,6.0,12.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,155,1.509433962264151,1.4622641509433962,106,Republican Party,Male,4.0,4.0,25.0,8.0,6.25,2.0
14,20.0,1.0,14.0,14.0,3.0,3.0,7.0,11.857142857142858,83.0,2.0,14.0,3.0,2.3333333333333335,7.0,1.3333333333333333,4.0,6.0,9.166666666666666,55.0,3.6666666666666665,22.0,2.0,5.0,10.0,2.0,4.0,19.0,12.210526315789474,232.0,5.631578947368421,107.0,0.0,0.0,0.0,0.0,0.0,2.0,6.5,13.0,3.0,6.0,3.0,3.6666666666666665,11.0,2.0,6.0,8205,3359,23.645533141210375,9.680115273775217,347,Republican Party,Male,23.0,17.0,372.0,202.0,16.17391304347826,11.882352941176471
