Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
932,1881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,4.5,9.0,0.5,1.0,1.0,11.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,246,165,5.3478260869565215,3.5869565217391304,46,Republican Party,Male,4.0,2.0,41.0,4.0,10.25,2.0
933,1883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1730.75,13846.0,387.625,3101.0,3.0,510.0,1530.0,402.0,1206.0,1.0,274.0,274.0,152.0,152.0,7.0,294.14285714285717,2059.0,135.71428571428572,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,868.4,8684.0,304.2,3042.0,92323,37221,632.3493150684933,254.93835616438355,146,Republican Party,Male,8.0,11.0,3435.0,19683.0,429.375,1789.3636363636365
934,1884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,10.0,3.0,12.0,4.0,10.5,42.0,5.25,21.0,0.0,0.0,0.0,0.0,0.0,12.0,9.416666666666666,113.0,4.833333333333333,58.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,14.083333333333336,169.0,5.416666666666668,65.0,5325,1836,25.23696682464455,8.701421800947868,211,Republican Party,Male,13.0,8.0,178.0,85.0,13.692307692307693,10.625
935,1885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,26,5,0.7647058823529411,0.14705882352941174,34,Republican Party,Male,1.0,1.0,2.0,0.0,2.0,0.0
936,1891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,224,106,6.588235294117648,3.117647058823529,34,Republican Party,Male,1.0,0.0,3.0,0.0,3.0,
937,1893.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,40,0.6133333333333333,0.5333333333333333,75,Republican Party,Male,1.0,2.0,0.0,0.0,0.0,0.0
938,1898.0,1.0,173.0,173.0,17.0,17.0,4.0,537.0,2148.0,96.75,387.0,0.0,0.0,0.0,0.0,0.0,5.0,48.8,244.0,21.0,105.0,1.0,49.0,49.0,9.0,9.0,12.0,38.41666666666666,461.0,17.166666666666668,206.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,41.0,13.0,13.0,7.0,62.42857142857143,437.0,16.857142857142858,118.0,58852,16220,344.16374269005854,94.85380116959064,171,Republican Party,Male,14.0,10.0,779.0,3074.0,55.64285714285714,307.4
939,1902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,1,0.16666666666666666,0.05555555555555555,18,Republican Party,Female,2.0,0.0,0.0,0.0,0.0,
940,1913.0,1.0,5.0,5.0,4.0,4.0,5.0,20.6,103.0,7.0,35.0,3.0,3.0,9.0,1.0,3.0,17.0,16.0,272.0,6.705882352941178,114.0,1.0,5.0,5.0,2.0,2.0,27.0,9.148148148148149,247.0,3.814814814814815,103.0,1.0,20.0,20.0,6.0,6.0,3.0,3.0,9.0,1.3333333333333333,4.0,22.0,110.77272727272728,2437.0,96.22727272727272,2117.0,15521,10218,46.891238670694854,30.87009063444109,331,Republican Party,Male,32.0,26.0,396.0,545.0,12.375,20.96153846153846
941,1914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,2,2.0,0.25,8,Republican Party,Male,0.0,0.0,0.0,0.0,,
942,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,2,1.59375,0.0625,32,Republican Party,Male,1.0,0.0,0.0,0.0,0.0,
